,course_id,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject,year
600,616564,entiende la contabilidad y consigue un aumento de salario,True,20,260,18,17,Beginner Level,1.5,Business Finance,2015
601,596026,Trade for Profit: Find-Trade Stocks Successfully Arabic عربي,True,95,299,5,65,All Levels,2.5,Business Finance,2015
602,1264512,Trading Forex  - L'analyse des volumes,True,70,4,3,13,All Levels,2.0,Business Finance,2017
603,499504,Disminuye deudas en tu hogar en menos de 30 días,True,20,65,3,15,Beginner Level,1.5,Business Finance,2015
604,903326,CPA 10 COMPLETO,True,25,101,25,18,All Levels,5.0,Business Finance,2016
605,412108,Trading Intradiario basado en Precio y Volumen,True,40,92,15,19,Intermediate Level,1.5,Business Finance,2015
606,865630,Aprenda Cálculo Financeiro de Forma Simples,True,20,76,14,21,All Levels,2.0,Business Finance,2016
607,1210062,Wie funktionieren Bitcoin? Ein Einführungskurs.,True,20,14,4,14,Beginner Level,0.6166666666666667,Business Finance,2017
608,1180960,Estruturação Financeira,True,45,18,3,18,All Levels,3.5,Business Finance,2017
609,660846,Five steps to becoming a winner in stock investing,True,20,21,1,28,All Levels,3.0,Business Finance,2015
610,829206,Financial Accounting Plus Excel and SAP Crash Course.,True,20,18,2,11,Beginner Level,1.0,Business Finance,2016
611,385604,Introduction to Financial Consolidation under IFRS,True,25,21,3,8,All Levels,1.5,Business Finance,2016
612,302468,How to read a Profit & Loss Account and Balance Sheet,True,20,49,10,13,All Levels,2.0,Business Finance,2014
613,331600,Learn Bookkeeping From Scratch,True,20,168,2,21,All Levels,3.0,Business Finance,2014
614,557436,ACCA MA1 Management Information,True,50,16,1,48,Beginner Level,3.5,Business Finance,2015
615,1162656,Introduction to Bitcoin for Beginners,True,20,2,1,7,Beginner Level,0.5666666666666667,Business Finance,2017
616,389834,Stock Trading: Ultimate Guide to swing trading stocks,True,200,336,6,13,All Levels,0.6833333333333333,Business Finance,2016
617,304414,Bookkeeping Systems,True,20,20,1,9,All Levels,1.0,Business Finance,2014
618,55136,Precious Metal Equities,True,20,28,1,8,All Levels,1.0,Business Finance,2013
619,619792,Start Now: A Rescue Plan for Retirement Late Savers,True,150,11,1,15,All Levels,0.65,Business Finance,2016
620,505144,Eu Funding: Module 2 - Introduction to Horizon 2020,True,20,11,1,6,Intermediate Level,1.0,Business Finance,2015
621,688244,How I Make Money Writing About Stocks Online,True,195,360,24,12,Beginner Level,2.5,Business Finance,2015
622,642060,Tradeonomics - Four Steps to Mastering Economic Indicators,True,20,1189,13,41,All Levels,4.0,Business Finance,2016
623,114518,Improve Your Financial Literacy,False,0,9995,96,10,All Levels,2.0,Business Finance,2014
624,1050168,Forex Trading : Power Of Moving Averages,True,200,100,24,33,All Levels,4.0,Business Finance,2017
625,666910,Demystifying Your Personal Tax Return,False,0,3426,27,14,Beginner Level,1.0,Business Finance,2015
626,158830,Samuel and Co Trading - Stock & Forex Trading,True,50,592,109,24,All Levels,5.5,Business Finance,2014
627,577256,Accounting Department's Tips & Tricks - Beginner to Advanced,True,95,1222,14,61,All Levels,6.0,Business Finance,2015
628,192576,Certificate Program In Management Accounting,True,50,1532,7,24,All Levels,6.0,Business Finance,2014
